STRID,SLOT,SKILL,BARRELS,CALIBER,BULLETS,RELOAD_AP,STR,PRICE,DUR,COMPL,MIN_LEVEL,GREN,TELESCOPE,RNG,POI,DMG,ATTACKS,BONUS,REACTION,NAZI_ITEM,FEMALE_ITEM,POLICE_ITEM,POOR_ITEM,RESPECTABLE_ITEM,WIDTH,HEIGHT,PERK,STACKABLE,QUEST,PARTID,SHOT_OFFSET,NAME1,NAME2,DESC1,DESC2
TRAIN_LEVA_PAPER,,,,,,,,,100,,,,,,,,,,,,,,,,3,2,,,1,,,,"Записка Лёвы",,"В основном содержит не представляющего интереса информацию в духе ""отдать должок Бубену"". На фоне этого выделяется написанный мелким шрифтом на обратной стороне список имён, причём первые два вычеркнуты: Кулибин, Брус, (неразборчиво)"
TRAIN_FAKE_HELMET,HAT,,,,,,,3000,100,,,,,,,,,,,,,,,,3,2,,,,HELMET,,,"Пехотная каска",,"Обыкновенная пехотная каска, обеспечивающая лёгкую защиту головы. Украдено с промзоновского склада."
TRAIN_FAKE_CUIRASS,BODY,,,,,,,100000,100,,,,,,,,,,,,,,,,6,7,,,,CUIRASS,,,"Кираса",,"Кираса, подобная тем, что использовали средневековые рыцари. Обеспечивает хорошую защиту, но ухудшает подвижность. Украдено с промзоновского склада."
TRAIN_FAKE_IRON_CHAINMAIL,SHIRT,,,,,,,8000,100,,,,,,,,,,,,,,,,5,7,,,,,,,"Кольчуга железная",,"Рубашка, сплетённая из железных колец. Обеспечивает неплохую защиту, не стесняя движений. Украдено с промзоновского склада."
TRAIN_FAKE_LIGHT_BODYARMOR,BODY,,,,,,,7000,100,,,,,,,,,,,,,,,,5,6,,,,LIGHT_BODYARMOR,,,"Бронежилет лёгкий",,"Бронежилет представляет собой куртку с карманами для защитных пластин. Эта модель защищает только спереди и сзади. Украдено с промзоновского склада."
TRAIN_FAKE_STUDDED_LEATHER_JACKET,BODY,,,,,,,1800,100,,,,,,,,,,,,,,,,5,6,,,,STUDDED_LEATHER_JACKET,,,"Жилет из толстой кожи",,"Бронежилет из толстой кожи, обеспечивающий лёгкую защиту туловища. Украдено с промзоновского склада."
TRAIN_FAKE_STUDDED_LEATHER_TROUSERS,LEGS,,,,,,,1200,100,,,,,,,,,,,,,,,,3,7,,,,TROUSERS,,,"Штаны из толстой кожи",,"Штаны из толстой кожи, обеспечивающие лёгкую защиту ног. Украдено с промзоновского склада."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Кастеты,,
ROCK,HAND,MELEE,0,0,0,0,1,-1,100,,999,,,0.49,,1-3,BLOW: 10,,0,,,,,,2,2,99,,,,,Rock,Камень,,
PB,HAND,MELEE,0,0,0,0,1,5,100,,999,,,0.49,,2-4,BLOW: 10,,0,,,,,,2,2,99,,,,,Pb,Свинчатка,,Вариант простейшего кастета.
KNUCKLES,HAND,MELEE,0,0,0,0,1,7,100,,999,,,0.49,,3-5,BLOW: 8,,0,,,,,,1,1,99,,,,,Knuckles,Кастет,,
