STRID,TEXT
1____________________,"1____________________"
0_p_cleanup_0_done_a,"Мы с Хомой всех обшмонали, Кабан. Стянутый со склада хабар посчитан и зафиксирован. Ты это, тоже сдавай добро своё - имущество казённое, как-никак!"
0_p_cleanup_1_destroy_e,"{сдать оружие и экипировку со складов}"
2____________________,"2____________________"
0_p_finale_0_take_a_guver,"{принимает и пересчитывает} Во, вроде теперь всё бьётся... с остальными последствиями этого [censored] пусть Гувер разбирается, наше дело сделано."
0_p_finale_0_take_a_wolf,"{принимает и пересчитывает} Во, вроде теперь всё бьётся... с остальными последствиями этого [censored] пусть Волк разбирается, наше дело сделано."
0_p_finale_1_gudok_q,"{указать на поникшего Гудка за спиной} Вы где его откопали? Я уж думал его прибить успели!"
0_p_finale_1_gudok_a,"{оборачивается на Гудка, тот горбится ещё сильнее} Прятался в кабине паровоза, вылез сам, когда пальба закончилась. Ты бы его допросил, а? Бунтари собирались угнать паровоз, а машинист у нас только один. {взваливает мешок на плечо} Ну а мы двигаем на доклад, потом расскажешь, что к чему."
0_p_finale_2_realize_e,"{ты понимаешь, что лучший шанс для побега вряд ли выпадет - вся охрана в округе либо убита, либо разбежалась}"
3____________________,"3____________________"
