STRID,TEXT
3_Process.7,"Я тут успел по материку помотаться, увидал всякого. На мой взгляд, есть и любопытное."
2_Process,"{смотрит на тебя равнодушно - явно не хочет выдавать знакомства}"
3_Process.9,"Например?"
2_Process.5,"{выход}"
1_Process,"{Ты видишь в клетке Крюгера - высокого, очень крепкого парня, отличного снайпера, специалиста по метанию ножичков, рукопашным боям, пыткам и разгильдяйству. Он кидает на тебя взгляд мимоходом, как будто не узнав}"
3_Process.21,"Хе-хе. Посмотрим, насколько сильны их боги!!!"
3_Process.11,"Вот тут {тычет пальцем в карту} - небольшой поселок в джунглях. Несколько хижин, крыши из пальмовых веток. Один большой дом из камня. Живет там, похоже, банда так называемых \"полицейских\". Эти уроды, по слухам, грабят всех, до кого дотянутся. Будет весело, когда мы неожиданно дотянемся до них самих. Надеюсь, получится ураганная бойня, как я люблю!"
3_Process.23,"А вот тут - дорога, по которой китайские караваны со всяким барахлом частенько проходят. Может, и нам чего перепадёт. Если конечно выживем в боях за перераспределение материальных ценностей {ухмыляется} Хотя за нас-то я опасаюсь меньше всего. А вот за всяких жадных бандюков переживаю весьма! Ну ты понял! {хихикает}"
3_Process.13,"Надежду разделяю!"
1_Preparation,"Нужно выкупить Крюгера из плена."
3_Process.25,"Проверить надо!"
4_Process,"@hero! Прежде чем отправимся глядеть на лесную стройку, не помешает слегонца пополнить запасы оружия, брони и амуниции. Так, сугубо на всякий случай. Мало ли кто нам в этом походе встретиться может."
3_Process.15,"Здесь {ведёт пальцем вбок} длинный узкий проход в горах с небольшими тремя утолщениями - полянами, на которых лагерями стоят какие-то бандюки. Чё стоят, зачем - я не понял. Можно разузнать. Только лучше с хорошими пушками в руках - безопасности ради."
1_Process.6,"{тоже промолчать}"
4_Sheet.1,"before_kruger4"
1_Process.7,"{крикнуть} Э, братан! Привет! Чё, не узнаёшь меня? Это я, @hero!"
3_Process.17,"Считаю - нужно!"
3_Process,"@hero! Прежде чем отправимся в город арийцев, не помешает слегонца пополнить запасы оружия, брони и амуниции. Так, сугубо на всякий случай. Мало ли, как наш разговор завершится."
1_Process.9,"{Крюгер вертит пальцем у виска, снова равнодушно глядит в землю. Людоеды вокруг тебя жизнерадостно ржут}"
3_Sheet.28,"before_kruger3"
3_Process.19,"Здесь - не поверишь, монастырь! {показывает, где монастырь} Посреди степи торчит. Заборчиком таким обнесён. Помойным. В центре монастыря стоит \"кирха\". Склады есть - это, в общем-то, самое интересное. Несколько замызганных хижин. Костры горят. В общем, мракобесие какое-то. Надо бы разобраться. {подмигивает} Лучше всего - выжечь калёным железом. В сугубо корыстных интересах, разумеется."
3_Process.5,"Какие предложения?"
1_Process.13,"{выход}"
